2024-06-14 08:41:22.496 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-06-14 08:41:22.624 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-14 08:41:22.944 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7967c63b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@47a8a117, org.springframework.security.web.context.SecurityContextHolderFilter@583b2457, org.springframework.security.web.header.HeaderWriterFilter@430c703, org.springframework.web.filter.CorsFilter@409fdd56, org.springframework.security.web.authentication.logout.LogoutFilter@640d2e92, com.example.digital_clothing_shop.Security.AuthenticationTokenFilter@6afb190c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3257ee3a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7478a40f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27df338b, org.springframework.security.web.session.SessionManagementFilter@3b295ff3, org.springframework.security.web.access.ExceptionTranslationFilter@7f56a08d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@43ea5e4b]
2024-06-14 08:41:23.215 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-14 08:41:23.230 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-14 08:41:23.243 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-06-14 08:41:23.253 [restartedMain] INFO  c.e.d.DigitalClothingShopApplication - Started DigitalClothingShopApplication in 5.432 seconds (process running for 5.801)
2024-06-14 08:41:29.126 [http-nio-8080-exec-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-14 08:41:29.127 [http-nio-8080-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-14 08:41:29.129 [http-nio-8080-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-06-14 08:46:05.623 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2024-06-14 08:46:05.628 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-06-14 08:46:05.643 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-14 08:46:05.647 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-06-14 08:46:05.651 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
